Gasquet,Russell,1
Robert,Olivetti,1
Struff,Rufin,-1
Bedene,Tursunov,-1
Lopez,Serra,1
Schepper,Klahn,-1
Kuznetsov,Sela,-1
Cuevas,Tipsarevic,-1
Gulbis,HaiderMaurer,-1
Kukushkin,Martin,1
Agut,Bellucci,1
Kyrgios,Ferrer,-1
Robredo,Matosevic,1
Haase,Dancevic,-1
Ramos,Tomic,-1
Evans,Nishikori,1
Verdasco,Dodig,-1
Williams,Davydenko,-1
Harrison,Nadal,-1
Djokovic,Berankis,1
Becker,Rosol,1
Kubot,Nieminen,-1
Sousa,Dimitrov,1
Haas,Mathieu,1
Lu,GimenoTraver,1
Young,Klizan,1
Mayer,Monaco,1
Kamke,Johnson,1
Istomin,Almagro,1
Benneteau,Przysiezny,1
Stakhovsky,Chardy,-1
Vesely,Kudla,-1
Lorenzi,Berdych,-1
Andujar,Bakker,1
Fabbiano,Raonic,-1
Janowicz,Gonzalez,-1
Sock,Petzschner,1
Federer,Zemlja,1
Giraldo,Berlocq,-1
Zeballos,Mannarino,-1
Pella,Querrey,-1
Isner,Volandri,1
Ungur,Monfils,-1
Montanes,RogerVasselin,-1
Altamirano,Kohlschreiber,-1
Silva,Pospisil,1
Paire,BogomolovJr,-1
Smyczek,Duckworth,1
Zopp,Granollers,-1
Ram,Fognini,1
Goffin,Dolgopolov,-1
Mahut,Youzhny,-1
Melzer,Donskoy,-1
Sijsling,Gojowczyk,-1
Hewitt,Baker,1
GarciaLopez,DelPotro,-1
Murray,Llodra,1
Hanescu,Mayer,-1
Seppi,Malisse,1
Lacko,Devvarman,-1
Wawrinka,Stepanek,1
Blake,Karlovic,-1
Baghdatis,Soeda,1
Brands,Anderson,-1
Gasquet,Robert,1
Rufin,Tursunov,-1
Lopez,Klahn,1
Andujar,Raonic,-1
Gonzalez,Sock,-1
Sela,Tipsarevic,-1
HaiderMaurer,Kukushkin,-1
Agut,Ferrer,-1
Federer,Berlocq,1
Mannarino,Querrey,1
Robredo,Dancevic,1
Tomic,Evans,-1
Isner,Monfils,1
RogerVasselin,Kohlschreiber,-1
Dodig,Davydenko,1
Silva,Nadal,-1
Djokovic,Becker,1
Nieminen,Sousa,-1
BogomolovJr,Smyczek,-1
Granollers,Ram,1
Haas,Lu,1
Dolgopolov,Youzhny,-1
Donskoy,Gojowczyk,1
Hewitt,DelPotro,1
Murray,Mayer,1
Young,Mayer,-1
Seppi,Devvarman,1
Kamke,Istomin,-1
Wawrinka,Karlovic,1
Baghdatis,Anderson,1
Benneteau,Chardy,1
Kudla,Berdych,-1
Gasquet,Tursunov,1
Lopez,Raonic,-1
Sock,Tipsarevic,-1
Kukushkin,Ferrer,-1
Federer,Mannarino,1
Robredo,Evans,1
Isner,Kohlschreiber,-1
Dodig,Nadal,-1
Djokovic,Sousa,1
Smyczek,Granollers,-1
Haas,Youzhny,-1
Donskoy,Hewitt,-1
Murray,Mayer,1
Seppi,Istomin,-1
Wawrinka,Baghdatis,1
Benneteau,Berdych,-1
Gasquet,Raonic,1
Tipsarevic,Ferrer,-1
Federer,Robredo,-1
Kohlschreiber,Nadal,-1
Youzhny,Hewitt,1
Murray,Istomin,1
Wawrinka,Berdych,1
Gasquet,Ferrer,1
Robredo,Nadal,-1
Djokovic,Youzhny,1
Murray,Wawrinka,-1
Djokovic,Wawrinka,1
Gasquet,Nadal,-1
Djokovic,Nadal,-1